,Match Runs,Match SR,Total Runs,Total Balls,Ave,Career SR,HS,NO,0,50,100,Opposition,Ground,match_id,player_id
6923,61*,148.78,1179,1391,35.72,84.75,128*,8,4,6,2,Scotland,Aberdeen,2731,38699
6924,2,50.00,1181,1395,34.73,84.65,128*,8,4,6,2,Bangladesh,Dhaka,2763,38699
6925,33,61.11,1214,1449,34.68,83.78,128*,8,4,6,2,Bangladesh,Dhaka,2764,38699
6926,103,86.55,1317,1568,36.58,83.99,128*,8,4,6,3,Bangladesh,Chattogram,2765,38699
6928,13,65.00,1330,1588,35.94,83.75,128*,8,4,6,3,West Indies,Christchurch,2787,38699
6929,51*,102.00,1381,1638,37.32,84.31,128*,9,4,7,3,West Indies,Wellington,2788,38699
6930,75,86.20,1456,1725,38.31,84.40,128*,9,4,8,3,West Indies,Auckland,2789,38699
6931,48*,67.60,1504,1796,39.57,83.74,128*,10,4,8,3,West Indies,Napier,2792,38699
6932,64,65.97,1568,1893,40.20,82.83,128*,10,4,9,3,Australia,Perth,2811,38699
6933,47,63.51,1615,1967,40.37,82.10,128*,10,4,9,3,Australia,Melbourne,2816,38699
6934,4,200.00,1619,1969,39.48,82.22,128*,10,4,9,3,Australia,Sydney,2817,38699
6935,76,107.04,1695,2040,40.35,83.08,128*,10,4,10,3,Australia,Adelaide,2819,38699
6936,4,133.33,1699,2043,39.51,83.16,128*,10,4,10,3,Australia,Brisbane,2820,38699
6937,31,129.16,1730,2067,39.31,83.69,128*,10,4,10,3,India,Napier,2821,38699
6939,7,116.66,1737,2073,38.60,83.79,128*,10,4,10,3,India,Christchurch,2823,38699
6940,5,38.46,1742,2086,37.86,83.50,128*,10,4,10,3,India,Hamilton,2824,38699
6941,28*,84.84,1770,2119,38.47,83.52,128*,11,4,10,3,India,Auckland,2825,38699
6942,2,50.00,1772,2123,37.70,83.46,128*,11,4,10,3,Sri Lanka,Colombo (RPS),2884,38699
6943,11,73.33,1783,2138,37.14,83.39,128*,11,4,10,3,India,Colombo (RPS),2886,38699
6944,72,67.92,1855,2244,37.85,82.66,128*,11,4,11,3,South Africa,Centurion,2895,38699
6945,4,200.00,1859,2246,37.18,82.76,128*,11,4,11,3,Sri Lanka,Johannesburg,2899,38699
6946,1,33.33,1860,2249,36.47,82.70,128*,11,4,11,3,England,Johannesburg,2902,38699
6947,38,62.29,1898,2310,36.50,82.16,128*,11,4,11,3,Pakistan,Johannesburg,2906,38699
6948,6,46.15,1904,2323,35.92,81.96,128*,11,4,11,3,Australia,Centurion,2907,38699
6949,0,0.00,1904,2328,35.25,81.78,128*,11,5,11,3,Pakistan,Abu Dhabi,2921,38699
6950,0,0.00,1904,2330,34.61,81.71,128*,11,6,11,3,Pakistan,Abu Dhabi,2924,38699
6951,44,63.76,1948,2399,34.78,81.20,128*,11,6,11,3,Pakistan,Abu Dhabi,2927,38699
6952,51,98.07,1999,2451,35.07,81.55,128*,11,6,12,3,Bangladesh,Napier,2949,38699
6953,78,150.00,2077,2503,35.81,82.98,128*,11,6,13,3,Bangladesh,Dunedin,2951,38699
6954,3,30.00,2080,2513,35.25,82.76,128*,11,6,13,3,Bangladesh,Christchurch,2953,38699
6955,70,98.59,2150,2584,35.83,83.20,128*,11,6,14,3,Australia,Napier,2966,38699
6956,62,93.93,2212,2650,36.26,83.47,128*,11,6,15,3,Australia,Hamilton,2971,38699
6957,15,40.54,2227,2687,35.91,82.88,128*,11,6,15,3,Australia,Auckland,2973,38699
6958,30,54.54,2257,2742,35.82,82.31,128*,11,6,15,3,Australia,Wellington,2975,38699
6959,95,84.07,2352,2855,36.75,82.38,128*,11,6,16,3,India,Dambulla,3030,38699
6960,16,47.05,2368,2889,36.43,81.96,128*,11,6,16,3,Sri Lanka,Dambulla,3031,38699
6962,8,57.14,2376,2903,36.00,81.84,128*,11,6,16,3,India,Dambulla,3039,38699
6963,42,75.00,2418,2959,36.08,81.71,128*,11,6,16,3,Bangladesh,Dhaka,3051,38699
6964,62*,86.11,2480,3031,37.01,81.82,128*,12,6,17,3,Bangladesh,Dhaka,3054,38699
6965,3,100.00,2483,3034,36.51,81.83,128*,12,6,17,3,Bangladesh,Dhaka,3056,38699
6966,3,33.33,2486,3043,36.02,81.69,128*,12,6,17,3,Bangladesh,Dhaka,3058,38699
6967,66,95.65,2552,3112,36.45,82.00,128*,12,6,18,3,India,Guwahati,3070,38699
6968,15,65.21,2567,3135,36.15,81.88,128*,12,6,18,3,India,Jaipur,3072,38699
6969,4,25.00,2571,3151,35.70,81.59,128*,12,6,18,3,India,Vadodara,3074,38699
6970,44,60.27,2615,3224,35.82,81.11,128*,12,6,18,3,India,Bengaluru,3076,38699
6971,9,100.00,2624,3233,35.45,81.16,128*,12,6,18,3,India,Chennai,3077,38699
6972,23*,79.31,2647,3262,35.77,81.14,128*,13,6,18,3,Pakistan,Wellington,3085,38699
6974,6,42.85,2653,3276,35.37,80.98,128*,13,6,18,3,Pakistan,Christchurch,3090,38699
6975,4,80.00,2657,3281,34.96,80.98,128*,13,6,18,3,Pakistan,Napier,3093,38699
6976,69,75.82,2726,3372,35.40,80.84,128*,13,6,19,3,Pakistan,Hamilton,3095,38699
6977,5,50.00,2731,3382,35.01,80.75,128*,13,6,19,3,Pakistan,Auckland,3097,38699
6979,7,31.81,2738,3404,34.65,80.43,128*,13,6,19,3,Australia,Nagpur,3107,38699
6981,131*,105.64,2869,3528,36.31,81.32,131*,14,6,19,4,Pakistan,Pallekele,3123,38699
6982,74,168.18,2943,3572,36.78,82.39,131*,14,6,20,4,Canada,Mumbai,3129,38699
6983,33,60.00,2976,3627,36.74,82.05,131*,14,6,20,4,Sri Lanka,Mumbai,3137,38699
6984,43,59.72,3019,3699,36.81,81.61,131*,14,6,20,4,South Africa,Dhaka,3144,38699
6985,36,65.45,3055,3754,36.80,81.37,131*,14,6,20,4,Sri Lanka,Colombo (RPS),3146,38699
6987,11,73.33,3066,3769,36.50,81.34,131*,14,6,20,4,Zimbabwe,Harare,3206,38699
6988,119,94.44,3185,3895,37.47,81.77,131*,14,6,20,5,Zimbabwe,Bulawayo,3209,38699
6989,110,95.65,3295,4010,38.31,82.16,131*,14,6,20,6,West Indies,Basseterre,3289,38699
6990,28,73.68,3323,4048,38.19,82.08,131*,14,6,20,6,West Indies,Basseterre,3290,38699
6991,72,116.12,3395,4110,38.57,82.60,131*,14,6,21,6,Sri Lanka,Pallekele,3305,38699
6992,7,43.75,3402,4126,38.22,82.45,131*,14,6,21,6,Sri Lanka,Pallekele,3306,38699
6993,6,35.29,3408,4143,37.86,82.25,131*,14,6,21,6,Sri Lanka,Hambantota,3307,38699
6995,22,57.89,3430,4181,37.69,82.03,131*,14,6,21,6,England,Hamilton,3335,38699
6996,100,85.47,3530,4298,38.36,82.13,131*,14,6,21,7,England,Napier,3336,38699
6997,28,53.84,3558,4350,38.25,81.79,131*,14,6,21,7,England,Auckland,3338,38699
6998,54,70.12,3612,4427,38.42,81.59,131*,14,6,22,7,England,Lord's,3360,38699
6999,60,111.11,3672,4481,38.65,81.94,131*,14,6,23,7,England,Southampton,3361,38699
7000,71,84.52,3743,4565,38.98,81.99,131*,14,6,24,7,England,Nottingham,3362,38699
7001,0,0.00,3743,4569,38.58,81.92,131*,14,7,24,7,Sri Lanka,Cardiff,3366,38699
7002,9*,39.13,3752,4592,38.68,81.70,131*,15,7,24,7,Australia,Birmingham,3369,38699
7003,3,50.00,3755,4598,38.31,81.66,131*,15,7,24,7,England,Cardiff,3373,38699
7004,8,57.14,3763,4612,38.01,81.59,131*,15,7,24,7,Bangladesh,Dhaka,3423,38699
7005,45,54.87,3808,4694,38.08,81.12,131*,15,7,24,7,Bangladesh,Dhaka,3426,38699
7006,107*,115.05,3915,4787,39.15,81.78,131*,16,7,24,8,Bangladesh,Fatullah,3429,38699
7007,3,30.00,3918,4797,38.79,81.67,131*,16,7,24,8,West Indies,Auckland,3449,38699
7008,9,112.50,3927,4805,38.50,81.72,131*,16,7,24,8,West Indies,Queenstown,3451,38699
7009,49,111.36,3976,4849,38.60,81.99,131*,16,7,24,8,West Indies,Nelson,3452,38699
7010,9,60.00,3985,4864,38.31,81.92,131*,16,7,24,8,West Indies,Hamilton,3453,38699
7011,55,67.07,4040,4946,38.47,81.68,131*,16,7,25,8,India,Napier,3456,38699
7012,57,101.78,4097,5002,38.65,81.90,131*,16,7,26,8,India,Hamilton,3458,38699
7013,17,94.44,4114,5020,38.44,81.95,131*,16,7,26,8,India,Auckland,3462,38699
7014,112*,88.18,4226,5147,39.49,82.10,131*,17,7,26,9,India,Hamilton,3465,38699
7015,102,96.22,4328,5253,40.07,82.39,131*,17,7,26,10,India,Wellington,3467,38699
7016,105*,77.77,4433,5388,41.04,82.27,131*,18,7,26,11,Pakistan,Dubai (DSC),3564,38699
7017,2,66.66,4435,5391,40.68,82.26,131*,18,7,26,11,Pakistan,Sharjah,3566,38699
7018,31,124.00,4466,5416,40.60,82.45,131*,18,7,26,11,Pakistan,Sharjah,3568,38699
7019,26,70.27,4492,5453,40.46,82.37,131*,18,7,26,11,Pakistan,Abu Dhabi,3570,38699
7020,88*,92.63,4580,5548,41.26,82.55,131*,19,7,27,11,Pakistan,Abu Dhabi,3571,38699
7021,34,49.27,4614,5617,41.19,82.14,131*,19,7,27,11,Sri Lanka,Hamilton,3577,38699
7022,3,37.50,4617,5625,40.85,82.08,131*,19,7,27,11,Sri Lanka,Auckland,3580,38699
7023,8,34.78,4625,5648,40.57,81.88,131*,19,7,27,11,Sri Lanka,Nelson,3585,38699
7024,20,86.95,4645,5671,40.39,81.90,131*,19,7,27,11,Sri Lanka,Dunedin,3588,38699
7025,96,94.11,4741,5773,40.87,82.12,131*,19,7,28,11,Sri Lanka,Dunedin,3590,38699
7026,11,50.00,4752,5795,40.61,82.00,131*,19,7,28,11,Sri Lanka,Wellington,3594,38699
7027,59*,72.83,4811,5876,41.11,81.87,131*,20,7,29,11,Pakistan,Wellington,3596,38699
7028,102*,145.71,4913,5946,41.99,82.62,131*,21,7,29,12,Pakistan,Napier,3598,38699
7029,14,50.00,4927,5974,41.75,82.47,131*,21,7,29,12,Sri Lanka,Christchurch,3599,38699
7030,9,64.28,4936,5988,41.47,82.43,131*,21,7,29,12,Scotland,Dunedin,3604,38699
7031,5*,100.00,4941,5993,41.52,82.44,131*,22,7,29,12,England,Wellington,3607,38699
7032,1,50.00,4942,5995,41.18,82.43,131*,22,7,29,12,Australia,Auckland,3617,38699
7033,24*,58.53,4966,6036,41.38,82.27,131*,23,7,29,12,Afghanistan,Napier,3628,38699
7034,56,57.73,5022,6133,41.50,81.88,131*,23,7,30,12,Bangladesh,Hamilton,3634,38699
7035,42,68.85,5064,6194,41.50,81.75,131*,23,7,30,12,West Indies,Wellington,3643,38699
7036,30,76.92,5094,6233,41.41,81.72,131*,23,7,30,12,South Africa,Auckland,3644,38699
7037,40,55.55,5134,6305,41.40,81.42,131*,23,7,30,12,Australia,Melbourne,3646,38699
7038,57,105.55,5191,6359,41.52,81.63,131*,23,7,31,12,England,Birmingham,3654,38699
7039,119*,123.95,5310,6455,42.48,82.26,131*,24,7,31,13,England,The Oval,3655,38699
7040,110,89.43,5420,6578,43.01,82.39,131*,24,7,31,14,England,Southampton,3656,38699
7041,42,76.36,5462,6633,43.00,82.34,131*,24,7,31,14,England,Nottingham,3657,38699
7042,47,74.60,5509,6696,43.03,82.27,131*,24,7,31,14,England,Chester-le-Street,3659,38699
7043,112*,91.80,5621,6818,43.91,82.44,131*,25,7,31,15,Zimbabwe,Harare,3673,38699
7045,5*,55.55,5626,6827,43.95,82.40,131*,26,7,31,15,Sri Lanka,Christchurch,3714,38699
7047,0,0.00,5626,6829,43.61,82.38,131*,26,8,31,15,Sri Lanka,Nelson,3717,38699
7048,20*,142.85,5646,6843,43.76,82.50,131*,27,8,31,15,Sri Lanka,Nelson,3718,38699
7049,61,91.04,5707,6910,43.90,82.59,131*,27,8,32,15,Sri Lanka,Mount Maunganui,3721,38699
7050,0,0.00,5707,6911,43.56,82.57,131*,27,9,32,15,India,Dharamsala,3796,38699
7051,21,50.00,5728,6953,43.39,82.38,131*,27,9,32,15,India,Delhi,3797,38699
7052,44,77.19,5772,7010,43.39,82.33,131*,27,9,32,15,India,Mohali,3798,38699
7053,35,60.34,5807,7068,43.33,82.15,131*,27,9,32,15,India,Ranchi,3799,38699
7054,19,59.37,5826,7100,43.15,82.05,131*,27,9,32,15,India,Visakhapatnam,3800,38699
7055,16,66.66,5842,7124,42.95,82.00,131*,27,9,32,15,Australia,Auckland,3829,38699
7056,107,105.94,5949,7225,43.42,82.33,131*,27,9,32,16,Australia,Hamilton,3832,38699
7057,1,33.33,5950,7228,43.11,82.31,131*,27,9,32,16,South Africa,Hamilton,3836,38699
7058,102*,92.72,6052,7338,43.85,82.47,131*,28,9,32,17,South Africa,Christchurch,3839,38699
7059,18,45.00,6070,7378,43.66,82.27,131*,28,9,32,17,South Africa,Wellington,3841,38699
7060,66,68.04,6136,7475,43.82,82.08,131*,28,9,33,17,South Africa,Hamilton,3843,38699
7061,8,66.66,6144,7487,43.57,82.06,131*,28,9,33,17,South Africa,Auckland,3846,38699
7062,52,86.66,6196,7547,43.63,82.09,131*,28,9,34,17,Ireland,Dublin (Malahide),3867,38699
7063,25,62.50,6221,7587,43.50,81.99,131*,28,9,34,17,Bangladesh,Dublin,3868,38699
7064,57,89.06,6278,7651,43.59,82.05,131*,28,9,35,17,Ireland,Dublin (Malahide),3870,38699
7065,60*,107.14,6338,7707,44.01,82.23,131*,29,9,36,17,Bangladesh,Dublin,3871,38699
7066,46,79.31,6384,7765,44.02,82.21,131*,29,9,36,17,Australia,Birmingham,3876,38699
7067,39,66.10,6423,7824,43.99,82.09,131*,29,9,36,17,England,Cardiff,3880,38699
7068,63,76.82,6486,7906,44.12,82.03,131*,29,9,37,17,Bangladesh,Cardiff,3883,38699
7069,95,95.00,6581,8006,44.46,82.20,131*,29,9,38,17,India,Mumbai,3928,38699
7070,21,63.63,6602,8039,44.30,82.12,131*,29,9,38,17,India,Pune,3931,38699
7071,39,82.97,6641,8086,44.27,82.12,131*,29,9,38,17,India,Kanpur,3932,38699
7072,49*,64.47,6690,8162,44.60,81.96,131*,30,9,38,17,West Indies,Whangarei,3943,38699
7073,57,86.36,6747,8228,44.68,82.00,131*,30,9,39,17,West Indies,Christchurch,3944,38699
7074,47*,87.03,6794,8282,44.99,82.03,131*,31,9,39,17,West Indies,Christchurch,3945,38699
7075,12,85.71,6806,8296,44.77,82.03,131*,31,9,39,17,Pakistan,Wellington,3946,38699
7076,45*,104.65,6851,8339,45.07,82.15,131*,32,9,39,17,Pakistan,Nelson,3947,38699
7077,52,81.25,6903,8403,45.11,82.14,131*,32,9,40,17,Pakistan,Dunedin,3949,38699
7078,1,25.00,6904,8407,44.83,82.12,131*,32,9,40,17,Pakistan,Hamilton,3953,38699
7079,59,80.82,6963,8480,44.92,82.11,131*,32,9,41,17,Pakistan,Wellington,3957,38699
7080,113,97.41,7076,8596,45.35,82.31,131*,32,9,41,18,England,Hamilton,3980,38699
7081,10,38.46,7086,8622,45.13,82.18,131*,32,9,41,18,England,Mount Maunganui,3981,38699
7082,181*,123.12,7267,8769,46.28,82.87,181*,33,9,41,19,England,Dunedin,3989,38699
7083,80,71.42,7347,8881,46.50,82.72,181*,33,9,42,19,Pakistan,Abu Dhabi,4066,38699
7084,86*,71.66,7433,9001,47.04,82.57,181*,34,9,43,19,Pakistan,Abu Dhabi,4068,38699
7086,54,145.94,7487,9038,47.08,82.83,181*,34,9,44,19,Sri Lanka,Mount Maunganui,4074,38699
7087,90,85.71,7577,9143,47.35,82.87,181*,34,9,45,19,Sri Lanka,Mount Maunganui,4075,38699
7088,137,104.58,7714,9274,47.91,83.17,181*,34,9,45,20,Sri Lanka,Nelson,4076,38699
7089,24,58.53,7738,9315,47.76,83.07,181*,34,9,45,20,India,Napier,4082,38699
7090,22,88.00,7760,9340,47.60,83.08,181*,34,9,45,20,India,Mount Maunganui,4085,38699
7091,93,87.73,7853,9446,47.88,83.13,181*,34,9,46,20,India,Mount Maunganui,4088,38699
7092,37*,148.00,7890,9471,48.10,83.30,181*,35,9,46,20,India,Hamilton,4091,38699
7093,1,25.00,7891,9475,47.82,83.28,181*,35,9,46,20,India,Wellington,4092,38699
7094,45*,91.83,7936,9524,48.09,83.32,181*,36,9,46,20,Bangladesh,Napier,4093,38699
7095,21*,105.00,7957,9544,48.22,83.37,181*,37,9,46,20,Bangladesh,Christchurch,4094,38699
7096,69,84.14,8026,9626,48.34,83.37,181*,37,9,47,20,Bangladesh,Dunedin,4095,38699
7098,82,90.10,8108,9717,48.55,83.44,181*,37,9,48,20,Bangladesh,The Oval,4151,38699
7099,48,92.30,8156,9769,48.54,83.48,181*,37,9,48,20,Afghanistan,Taunton,4154,38699
7100,1,50.00,8157,9771,48.26,83.48,181*,37,9,48,20,South Africa,Birmingham,4165,38699
7101,69,72.63,8226,9866,48.38,83.37,181*,37,9,49,20,West Indies,Manchester,4170,38699
7102,3,37.50,8229,9874,48.12,83.34,181*,37,9,49,20,Pakistan,Birmingham,4174,38699
7103,30,55.55,8259,9928,48.01,83.18,181*,37,9,49,20,Australia,Lord's,4178,38699
7104,28,66.66,8287,9970,47.90,83.11,181*,37,9,49,20,England,Chester-le-Street,4183,38699
7105,74,82.22,8361,10060,48.05,83.11,181*,37,9,50,20,India,Manchester,4190,38699
7106,15,48.38,8376,10091,47.86,83.00,181*,37,9,50,20,England,Lord's,4192,38699
7107,109*,129.76,8485,10175,48.48,83.39,181*,38,9,50,21,India,Hamilton,4235,38699
7108,73*,98.64,8558,10249,48.90,83.50,181*,39,9,51,21,India,Auckland,4239,38699
7109,12,66.66,8570,10267,48.69,83.47,181*,39,9,51,21,India,Mount Maunganui,4243,38699
7110,4,66.66,8574,10273,48.44,83.46,181*,39,9,51,21,Australia,Sydney,4255,38699
7111,7,50.00,8581,10287,48.20,83.41,181*,39,9,51,21,Bangladesh,Wellington,4282,38699
7112,8*,200.00,8,4,48.20,200.00,8*,1,0,0,0,India,Nagpur,644,48124
7113,0,0.00,8,6,8.00,133.33,8*,1,1,0,0,India,Pune,646,48124
7114,4,36.36,12,17,6.00,70.58,8*,1,1,0,0,Pakistan,Sargodha,700,48124
7115,19*,45.23,31,59,15.50,52.54,19*,2,1,0,0,Pakistan,Hyderabad (Sind),706,48124
7116,5*,125.00,36,63,18.00,57.14,19*,3,1,0,0,Pakistan,Multan,708,48124
7117,3,25.00,39,75,13.00,52.00,19*,3,1,0,0,Pakistan,Rawalpindi,710,48124
7118,4,50.00,43,83,10.75,51.80,19*,3,1,0,0,Australia,Colombo (PSS),758,48124
7119,10,58.82,53,100,10.60,53.00,19*,3,1,0,0,India,Singapore,1089,48124
7121,16,80.00,69,120,11.50,57.50,19*,3,1,0,0,New Zealand,Sharjah,1142,48124
7122,58,58.00,127,220,18.14,57.72,58,3,1,1,0,Pakistan,Sharjah,1143,48124
7123,52*,43.33,179,340,25.57,52.64,58,4,1,2,0,Zimbabwe,Sharjah,1189,48124
7124,94,79.66,273,458,34.12,59.60,94,4,1,3,0,Pakistan,Sharjah,1190,48124
7125,0,0.00,273,463,30.33,58.96,94,4,2,3,0,Pakistan,Sharjah,1193,48124
7126,14,43.75,287,495,28.70,57.97,94,4,2,3,0,Zimbabwe,Sharjah,1194,48124
7127,29,59.18,316,544,28.72,58.08,94,4,2,3,0,Pakistan,Sharjah,1198,48124
7128,0,0.00,316,548,26.33,57.66,94,4,3,3,0,Pakistan,Gwalior,1205,48124
7129,38,55.07,354,617,27.23,57.37,94,4,3,3,0,India,Mumbai,1207,48124
7130,41,71.92,395,674,28.21,58.60,94,4,3,3,0,New Zealand,Hyderabad (Deccan),1208,48124
7131,53,73.61,448,746,29.86,60.05,94,4,3,4,0,Pakistan,Mohali,1212,48124
7132,29,96.66,477,776,29.81,61.46,94,4,3,4,0,Pakistan,Kolkata,1214,48124
7133,1,14.28,478,783,28.11,61.04,94,4,3,4,0,West Indies,Port of Spain,1215,48124
7134,80,70.79,558,896,31.00,62.27,94,4,3,5,0,Pakistan,Colombo (RPS),1216,48124
7135,31,54.38,589,953,31.00,61.80,94,4,3,5,0,India,Colombo (RPS),1218,48124
7136,60,81.08,649,1027,32.45,63.19,94,4,3,6,0,Bangladesh,Colombo (SSC),1220,48124
7137,84*,83.16,733,1128,36.65,64.98,94,5,3,7,0,India,Colombo (RPS),1222,48124
7138,118,77.12,851,1281,40.52,66.43,118,5,3,7,1,India,Colombo (RPS),1223,48124
7139,38,88.37,889,1324,40.40,67.14,118,5,3,7,1,India,Colombo (RPS),1224,48124
7140,21,75.00,910,1352,39.56,67.30,118,5,3,7,1,India,Colombo (SSC),1225,48124
7141,3,25.00,913,1364,38.04,66.93,118,5,3,7,1,India,Colombo (SSC),1226,48124
7142,1,10.00,914,1374,36.56,66.52,118,5,3,7,1,West Indies,Lahore,1247,48124
7143,23,67.64,937,1408,36.03,66.54,118,5,3,7,1,Pakistan,Lahore,1251,48124
7144,25,62.50,962,1448,35.62,66.43,118,5,3,7,1,South Africa,Lahore,1252,48124
7145,22,36.06,984,1509,35.14,65.20,118,5,3,7,1,South Africa,Lahore,1253,48124
7146,8,38.09,992,1530,34.20,64.83,118,5,3,7,1,India,Guwahati,1267,48124
7147,14,41.17,1006,1564,33.53,64.32,118,5,3,7,1,India,Margao,1269,48124
7148,26,68.42,1032,1602,33.29,64.41,118,5,3,7,1,Zimbabwe,Colombo (SSC),1282,48124
7149,45,56.25,1077,1682,33.65,64.03,118,5,3,7,1,Zimbabwe,Colombo (RPS),1284,48124
7150,4,23.52,1081,1699,32.75,63.62,118,5,3,7,1,South Africa,Johannesburg,1306,48124
7151,63,80.76,1144,1777,33.64,64.37,118,5,3,8,1,South Africa,Port Elizabeth,1315,48124
7152,94,76.42,1238,1900,35.37,65.15,118,5,3,9,1,Pakistan,Benoni,1317,48124
7153,4,40.00,1242,1910,34.50,65.02,118,5,3,9,1,South Africa,Bloemfontein,1321,48124
7154,70,78.65,1312,1999,35.45,65.63,118,5,3,10,1,India,Colombo (RPS),1338,48124
7155,83*,70.33,1395,2117,37.70,65.89,118,6,3,11,1,New Zealand,Colombo (RPS),1339,48124
7156,12,66.66,1407,2135,37.02,65.90,118,6,3,11,1,India,Colombo (SSC),1341,48124
7157,6*,200.00,1413,2138,37.18,66.08,118,7,3,11,1,New Zealand,Colombo (SSC),1343,48124
7158,39,76.47,1452,2189,37.23,66.33,118,7,3,11,1,India,Colombo (RPS),1344,48124
7159,40,66.66,1492,2249,37.30,66.34,118,7,3,11,1,South Africa,Nottingham,1345,48124
7160,6,66.66,1498,2258,36.53,66.34,118,7,3,11,1,England,Lord's,1346,48124
7161,132*,87.41,1630,2409,39.75,67.66,132*,8,3,11,2,England,Lord's,1348,48124
7162,3,27.27,1633,2420,38.88,67.47,132*,8,3,11,2,New Zealand,Dhaka,1359,48124
7163,19,82.60,1652,2443,38.41,67.62,132*,8,3,11,2,South Africa,Dhaka,1362,48124
7164,64,68.81,1716,2536,39.00,67.66,132*,8,3,12,2,India,Sharjah,1366,48124
7165,0,0.00,1716,2537,38.13,67.63,132*,8,4,12,2,Zimbabwe,Sharjah,1367,48124
7166,10,71.42,1726,2551,37.52,67.65,132*,8,4,12,2,India,Sharjah,1370,48124
7167,24,58.53,1750,2592,37.23,67.51,132*,8,4,12,2,Zimbabwe,Sharjah,1372,48124
7168,51,56.66,1801,2682,37.52,67.15,132*,8,4,13,2,England,Brisbane,1380,48124
7169,18,78.26,1819,2705,37.12,67.24,132*,8,4,13,2,Australia,Sydney,1382,48124
7170,1,9.09,1820,2716,36.40,67.01,132*,8,4,13,2,England,Melbourne,1388,48124
7171,82,67.76,1902,2837,37.29,67.04,132*,8,4,14,2,Australia,Hobart,1389,48124
7172,3,25.00,1905,2849,36.63,66.86,132*,8,4,14,2,England,Adelaide,1391,48124
7173,0,0.00,1905,2851,35.94,66.81,132*,8,5,14,2,Australia,Adelaide,1392,48124
7174,17,47.22,1922,2887,35.59,66.57,132*,8,5,14,2,England,Perth,1396,48124
7175,34,61.81,1956,2942,35.56,66.48,132*,8,5,14,2,Australia,Perth,1398,48124
7176,4,26.66,1960,2957,35.00,66.28,132*,8,5,14,2,England,Sydney,1400,48124
7177,12,63.15,1972,2976,34.59,66.26,132*,8,5,14,2,Australia,Melbourne,1403,48124
7178,22,81.48,1994,3003,34.37,66.40,132*,8,5,14,2,Pakistan,Jamshedpur,1411,48124
7179,28,66.66,2022,3045,34.27,66.40,132*,8,5,14,2,Pakistan,Visakhapatnam,1423,48124
7180,6,50.00,2028,3057,33.80,66.33,132*,8,5,14,2,India,Pune,1426,48124
7181,3,33.33,2031,3066,33.29,66.24,132*,8,5,14,2,England,Lord's,1443,48124
7182,1,10.00,2032,3076,32.77,66.05,132*,8,5,14,2,South Africa,Northampton,1451,48124
7183,54,60.00,2086,3166,33.11,65.88,132*,8,5,15,2,Zimbabwe,Worcester,1456,48124
7184,29,100.00,2115,3195,33.04,66.19,132*,8,5,15,2,India,Taunton,1463,48124
7185,52,77.61,2167,3262,33.33,66.43,132*,8,5,16,2,Kenya,Southampton,1469,48124
7186,5,45.45,2172,3273,32.90,66.36,132*,8,5,16,2,Australia,Galle,1485,48124
7187,71*,56.34,2243,3399,33.98,65.98,132*,9,5,17,2,India,Colombo (RPS),1487,48124
7188,14,45.16,2257,3430,33.68,65.80,132*,9,5,17,2,Australia,Colombo (RPS),1488,48124
7189,55,63.95,2312,3516,34.00,65.75,132*,9,5,18,2,India,Colombo (SSC),1490,48124
7190,24,52.17,2336,3562,33.85,65.58,132*,9,5,18,2,Australia,Colombo (RPS),1491,48124
7191,10,19.60,2346,3613,33.51,64.93,132*,9,5,18,2,West Indies,Sharjah,1512,48124
7192,11,44.00,2357,3638,33.19,64.78,132*,9,5,18,2,Pakistan,Sharjah,1514,48124
7194,29,53.70,2386,3692,33.13,64.62,132*,9,5,18,2,Pakistan,Sharjah,1516,48124
7195,3,18.75,2389,3708,32.72,64.42,132*,9,5,18,2,Pakistan,Sharjah,1519,48124
7196,33,71.73,2422,3754,32.72,64.51,132*,9,5,18,2,Zimbabwe,Bulawayo,1527,48124
7197,15,60.00,2437,3779,32.49,64.48,132*,9,5,18,2,Zimbabwe,Bulawayo,1528,48124
7198,69,64.48,2506,3886,32.97,64.48,132*,9,5,19,2,Zimbabwe,Harare,1529,48124
7199,6,50.00,2512,3898,32.62,64.44,132*,9,5,19,2,Zimbabwe,Harare,1530,48124
7200,25,48.07,2537,3950,32.52,64.22,132*,9,5,19,2,Zimbabwe,Harare,1531,48124
7201,119*,88.14,2656,4085,34.05,65.01,132*,10,5,19,3,Pakistan,Karachi,1559,48124
7202,57,69.51,2713,4167,34.34,65.10,132*,10,5,20,3,Pakistan,Gujranwala,1561,48124
7203,77,84.61,2790,4258,34.87,65.52,132*,10,5,21,3,Pakistan,Lahore,1566,48124
7204,41*,71.92,2831,4315,35.38,65.60,132*,11,5,21,3,Bangladesh,Dhaka,1596,48124
7205,42,75.00,2873,4371,35.46,65.72,132*,11,5,21,3,India,Dhaka,1598,48124
7206,62,60.78,2935,4473,35.79,65.61,132*,11,5,22,3,Pakistan,Dhaka,1601,48124
7207,100,80.64,3035,4597,36.56,66.02,132*,11,5,22,4,Pakistan,Dhaka,1602,48124
7208,62,67.39,3097,4689,36.86,66.04,132*,11,5,23,4,Pakistan,Galle,1603,48124
7209,3,33.33,3100,4698,36.47,65.98,132*,11,5,23,4,South Africa,Galle,1604,48124
7210,25,51.02,3125,4747,36.33,65.83,132*,11,5,23,4,Pakistan,Colombo (RPS),1608,48124
