,Match Runs,Match SR,Total Runs,Total Balls,Ave,Career SR,HS,NO,0,50,100,Opposition,Ground,match_id,player_id
106,3,25.00,3639,4388,39.55,82.93,137,12,6,24,6,Zimbabwe,Kanpur,1075,35320
107,31,52.54,3670,4447,39.46,82.52,137,12,6,24,6,Pakistan,Bengaluru,1078,35320
108,65,73.86,3735,4535,39.73,82.35,137,12,6,25,6,Sri Lanka,Kolkata,1081,35320
109,28,90.32,3763,4566,39.61,82.41,137,12,6,25,6,Sri Lanka,Singapore,1089,35320
110,100,90.09,3863,4677,40.23,82.59,137,12,6,25,7,Pakistan,Singapore,1091,35320
111,1,20.00,3864,4682,39.83,82.52,137,12,6,25,7,Pakistan,Sharjah,1094,35320
112,2,13.33,3866,4697,39.44,82.30,137,12,6,25,7,South Africa,Sharjah,1097,35320
113,118,84.28,3984,4837,40.24,82.36,137,12,6,25,8,Pakistan,Sharjah,1098,35320
114,17,65.38,4001,4863,40.01,82.27,137,12,6,25,8,South Africa,Sharjah,1100,35320
115,57,80.28,4058,4934,40.17,82.24,137,12,6,26,8,South Africa,Sharjah,1101,35320
116,30,157.89,4088,4953,40.07,82.53,137,12,6,26,8,England,The Oval,1102,35320
117,6,31.57,4094,4972,39.74,82.34,137,12,6,26,8,England,Leeds,1103,35320
118,1,9.09,4095,4983,39.37,82.17,137,12,6,26,8,England,Manchester,1104,35320
119,110,79.71,4205,5121,40.04,82.11,137,12,6,26,9,Sri Lanka,Colombo (RPS),1106,35320
120,40,86.95,4245,5167,40.04,82.15,137,12,6,26,9,Zimbabwe,Colombo (SSC),1110,35320
121,7,63.63,4252,5178,39.73,82.11,137,12,6,26,9,Australia,Colombo (SSC),1113,35320
122,89*,100.00,4341,5267,40.57,82.41,137,13,6,27,9,Pakistan,Toronto,1115,35320
123,20,86.95,4361,5290,40.37,82.43,137,13,6,27,9,Pakistan,Toronto,1116,35320
124,2,15.38,4363,5303,40.02,82.27,137,13,6,27,9,Pakistan,Toronto,1117,35320
125,3,33.33,4366,5312,39.69,82.19,137,13,6,27,9,Pakistan,Toronto,1118,35320
126,23,52.27,4389,5356,39.54,81.94,137,13,6,27,9,Pakistan,Toronto,1119,35320
127,11,137.50,4400,5364,39.28,82.02,137,13,6,27,9,South Africa,Hyderabad (Deccan),1127,35320
128,88,79.27,4488,5475,39.71,81.97,137,13,6,28,9,Australia,Bengaluru,1129,35320
129,64,68.81,4552,5568,39.92,81.75,137,13,6,29,9,South Africa,Jaipur,1130,35320
130,28,73.68,4580,5606,39.82,81.69,137,13,6,29,9,South Africa,Rajkot,1132,35320
131,62,101.63,4642,5667,40.01,81.91,137,13,6,30,9,Australia,Mohali,1137,35320
132,67,76.13,4709,5755,40.24,81.82,137,13,6,31,9,South Africa,Mumbai,1138,35320
133,114,90.47,4823,5881,40.87,82.00,137,13,6,31,10,South Africa,Mumbai,1151,35320
134,0,0.00,4823,5885,40.52,81.95,137,13,7,31,10,South Africa,Bloemfontein,1167,35320
135,6,75.00,4829,5893,40.24,81.94,137,13,7,31,10,Zimbabwe,Paarl,1169,35320
136,1,7.14,4830,5907,39.91,81.76,137,13,7,31,10,South Africa,Port Elizabeth,1172,35320
137,14,58.33,4844,5931,39.70,81.67,137,13,7,31,10,South Africa,East London,1173,35320
138,41,73.21,4885,5987,39.71,81.59,137,13,7,31,10,Zimbabwe,Centurion,1174,35320
139,104,107.21,4989,6084,40.23,82.00,137,13,7,31,11,Zimbabwe,Benoni,1175,35320
140,32,118.51,5021,6111,40.16,82.16,137,13,7,31,11,South Africa,Durban,1176,35320
141,45,136.36,5066,6144,40.20,82.45,137,13,7,31,11,South Africa,Durban,1177,35320
142,13,86.66,5079,6159,39.99,82.46,137,13,7,31,11,Zimbabwe,Bulawayo,1178,35320
143,44,102.32,5123,6202,40.02,82.60,137,13,7,31,11,West Indies,Port of Spain,1200,35320
144,65*,92.85,5188,6272,40.53,82.71,137,14,7,32,11,West Indies,Port of Spain,1201,35320
145,9,60.00,5197,6287,40.28,82.66,137,14,7,32,11,West Indies,Kingstown,1202,35320
146,1,9.09,5198,6298,39.98,82.53,137,14,7,32,11,West Indies,Bridgetown,1203,35320
147,117,85.40,5315,6435,40.57,82.59,137,14,7,32,12,New Zealand,Bengaluru,1206,35320
148,2,50.00,5317,6439,40.28,82.57,137,14,7,32,12,Sri Lanka,Mumbai,1207,35320
149,4,57.14,5321,6446,40.00,82.54,137,14,7,32,12,Pakistan,Chennai,1209,35320
150,21,75.00,5342,6474,39.86,82.51,137,14,7,32,12,Sri Lanka,Colombo (RPS),1218,35320
152,28,133.33,5370,6495,39.77,82.67,137,14,7,32,12,Bangladesh,Colombo (SSC),1221,35320
153,53,79.10,5423,6562,39.87,82.64,137,14,7,33,12,Sri Lanka,Colombo (RPS),1222,35320
154,27,96.42,5450,6590,39.78,82.70,137,14,7,33,12,Sri Lanka,Colombo (RPS),1223,35320
155,6,100.00,5456,6596,39.53,82.71,137,14,7,33,12,Sri Lanka,Colombo (RPS),1224,35320
156,27,87.09,5483,6627,39.44,82.73,137,14,7,33,12,Sri Lanka,Colombo (SSC),1225,35320
157,39,121.87,5522,6659,39.44,82.92,137,14,7,33,12,Sri Lanka,Colombo (SSC),1226,35320
158,17,31.48,5539,6713,39.28,82.51,137,14,7,33,12,Pakistan,Toronto,1227,35320
159,25*,55.55,5564,6758,39.46,82.33,137,15,7,33,12,Pakistan,Toronto,1228,35320
161,0,0.00,5564,6768,39.18,82.21,137,15,8,33,12,Pakistan,Toronto,1230,35320
162,6,85.71,5570,6775,38.95,82.21,137,15,8,33,12,Pakistan,Toronto,1231,35320
163,51,79.68,5621,6839,39.03,82.19,137,15,8,34,12,Pakistan,Toronto,1232,35320
164,2,18.18,5623,6850,38.77,82.08,137,15,8,34,12,Pakistan,Hyderabad (Sind),1233,35320
165,21,116.66,5644,6868,38.65,82.17,137,15,8,34,12,Pakistan,Karachi,1234,35320
166,7,63.63,5651,6879,38.44,82.14,137,15,8,34,12,Pakistan,Lahore,1236,35320
167,91,104.59,5742,6966,38.79,82.42,137,15,8,35,12,England,Sharjah,1259,35320
168,3,75.00,5745,6970,38.55,82.42,137,15,8,35,12,Pakistan,Sharjah,1262,35320
169,1,50.00,5746,6972,38.30,82.41,137,15,8,35,12,West Indies,Sharjah,1264,35320
170,82*,95.34,5828,7058,38.85,82.57,137,16,8,36,12,Sri Lanka,Guwahati,1267,35320
172,6,46.15,5834,7071,38.63,82.50,137,16,8,36,12,Sri Lanka,Margao,1269,35320
173,54,71.05,5888,7147,38.73,82.38,137,16,8,37,12,Bangladesh,Dhaka,1271,35320
174,67,152.27,5955,7191,38.92,82.81,137,16,8,38,12,Pakistan,Dhaka,1273,35320
175,95,121.79,6050,7269,39.28,83.23,137,16,8,39,12,Pakistan,Dhaka,1276,35320
176,1,16.66,6051,7275,39.03,83.17,137,16,8,39,12,Pakistan,Dhaka,1277,35320
177,41,157.69,6092,7301,39.05,83.44,137,16,8,39,12,Pakistan,Dhaka,1279,35320
178,8,72.72,6100,7312,38.85,83.42,137,16,8,39,12,Australia,Kochi,1300,35320
179,5,29.41,6105,7329,38.63,83.29,137,16,8,39,12,Zimbabwe,Vadodara,1305,35320
180,100,112.35,6205,7418,39.02,83.64,137,16,8,39,13,Australia,Kanpur,1308,35320
181,1,50.00,6206,7420,38.78,83.63,137,16,8,39,13,Zimbabwe,Cuttack,1311,35320
182,15,62.50,6221,7444,38.63,83.57,137,16,8,39,13,Australia,Delhi,1316,35320
183,40,97.56,6261,7485,38.64,83.64,137,16,8,39,13,New Zealand,Sharjah,1319,35320
184,80,111.11,6341,7557,38.90,83.90,137,16,8,40,13,Australia,Sharjah,1322,35320
185,38,65.51,6379,7615,38.89,83.76,137,16,8,40,13,New Zealand,Sharjah,1323,35320
186,143,109.16,6522,7746,39.52,84.19,143,16,8,40,14,Australia,Sharjah,1325,35320
187,134,102.29,6656,7877,40.09,84.49,143,16,8,40,15,Australia,Sharjah,1327,35320
188,33,113.79,6689,7906,40.05,84.60,143,16,8,40,15,Bangladesh,Mumbai,1335,35320
189,18,72.00,6707,7931,39.92,84.56,143,16,8,40,15,Kenya,Gwalior,1336,35320
190,100*,97.08,6807,8034,40.51,84.72,143,17,8,40,16,Kenya,Kolkata,1337,35320
191,65,130.00,6872,8084,40.66,85.00,143,17,8,41,16,Sri Lanka,Colombo (RPS),1338,35320
192,53,147.22,6925,8120,40.73,85.28,143,17,8,42,16,New Zealand,Colombo (RPS),1340,35320
193,17,106.25,6942,8136,40.59,85.32,143,17,8,42,16,Sri Lanka,Colombo (SSC),1341,35320
195,128,97.70,7070,8267,41.10,85.52,143,17,8,42,17,Sri Lanka,Colombo (RPS),1344,35320
196,77,70.64,7147,8376,41.31,85.32,143,17,8,43,17,Pakistan,Toronto,1353,35320
197,127*,97.69,7274,8506,42.04,85.51,143,18,8,43,18,Zimbabwe,Bulawayo,1354,35320
