Match Runs,Total Runs,Ave,Career SR,HS,Opposition,Ground,m1,m2,m3,m4,m5,Records,class
57.0,0.03288012567033205,27.95,82.44,0.7668161434977578,3,66,0.23484848484848486,0.015151515151515152,0.003787878787878788,0.003787878787878788,0.13636363636363635,0.038461538461538464,6.0
48.0,0.036942744163371434,28.86,82.57,0.7668161434977578,23,2,0.015151515151515152,0.003787878787878788,0.003787878787878788,0.13636363636363635,0.2159090909090909,0.04326923076923077,5.0
21.0,0.042467905313904986,28.52,81.59,0.7668161434977578,3,2,0.003787878787878788,0.003787878787878788,0.13636363636363635,0.2159090909090909,0.18181818181818182,0.04326923076923077,3.0
77.0,0.037538594875683874,30.54,78.73,0.8385650224215246,23,19,0.003787878787878788,0.13636363636363635,0.2159090909090909,0.18181818181818182,0.07954545454545454,0.04326923076923077,8.0
31.0,0.046693028546665946,30.56,78.35,0.8385650224215246,3,140,0.13636363636363635,0.2159090909090909,0.18181818181818182,0.07954545454545454,0.2916666666666667,0.04807692307692308,4.0
57.0,0.04555549536861492,32.84,77.23,0.8385650224215246,23,93,0.2159090909090909,0.18181818181818182,0.07954545454545454,0.2916666666666667,0.11742424242424243,0.04807692307692308,6.0
4.0,0.054384919560153844,31.73,76.88,0.8385650224215246,3,93,0.18181818181818182,0.07954545454545454,0.2916666666666667,0.11742424242424243,0.2159090909090909,0.05528846153846154,1.0
69.0,0.047559720491847673,33.11,76.21,0.8385650224215246,3,140,0.07954545454545454,0.2916666666666667,0.11742424242424243,0.2159090909090909,0.015151515151515152,0.05528846153846154,7.0
35.0,0.054980770272466284,33.17,76.33,0.8385650224215246,7,117,0.2916666666666667,0.11742424242424243,0.2159090909090909,0.015151515151515152,0.26136363636363635,0.06009615384615385,4.0
11.0,0.05947673473809653,32.41,76.05,0.8385650224215246,3,19,0.11742424242424243,0.2159090909090909,0.015151515151515152,0.26136363636363635,0.13257575757575757,0.06009615384615385,2.0
54.0,0.055414116245057154,34.27,76.57,0.8385650224215246,17,140,0.2159090909090909,0.015151515151515152,0.26136363636363635,0.13257575757575757,0.04166666666666667,0.06009615384615385,6.0
81.0,0.055414116245057154,35.83,78.18,0.874439461883408,24,64,0.015151515151515152,0.26136363636363635,0.13257575757575757,0.04166666666666667,0.20454545454545456,0.06730769230769232,9.0
4.0,0.06814365418991387,34.8,77.84,0.874439461883408,23,151,0.26136363636363635,0.13257575757575757,0.04166666666666667,0.20454545454545456,0.3068181818181818,0.07211538461538461,1.0
84.0,0.05969340772439197,36.34,77.89,0.9013452914798206,15,49,0.13257575757575757,0.04166666666666667,0.20454545454545456,0.3068181818181818,0.015151515151515152,0.07211538461538461,9.0
14.0,0.07182709495693625,35.66,78.1,0.9013452914798206,19,2,0.04166666666666667,0.20454545454545456,0.3068181818181818,0.015151515151515152,0.3181818181818182,0.07692307692307693,2.0
39.0,0.06987703808027734,35.76,77.79,0.9013452914798206,24,65,0.20454545454545456,0.3068181818181818,0.015151515151515152,0.3181818181818182,0.05303030303030303,0.07692307692307693,4.0
15.0,0.07458967553220303,35.17,77.42,0.9013452914798206,19,25,0.3068181818181818,0.015151515151515152,0.3181818181818182,0.05303030303030303,0.14772727272727273,0.07692307692307693,2.0
10.0,0.07594388169654949,34.47,76.32,0.9013452914798206,19,120,0.015151515151515152,0.3181818181818182,0.05303030303030303,0.14772727272727273,0.05681818181818182,0.07692307692307693,2.0
22.0,0.07518552624451547,34.13,76.54,0.9013452914798206,19,28,0.3181818181818182,0.05303030303030303,0.14772727272727273,0.05681818181818182,0.03787878787878788,0.07692307692307693,3.0
21.0,0.07648556416228808,33.78,75.79,0.9013452914798206,19,75,0.05303030303030303,0.14772727272727273,0.05681818181818182,0.03787878787878788,0.08333333333333334,0.07692307692307693,3.0
32.0,0.07643139591571421,33.74,75.37,0.9013452914798206,19,15,0.14772727272727273,0.05681818181818182,0.03787878787878788,0.08333333333333334,0.07954545454545454,0.07692307692307693,4.0
23.0,0.07913980824440714,33.47,75.01,0.9013452914798206,19,50,0.05681818181818182,0.03787878787878788,0.08333333333333334,0.07954545454545454,0.12121212121212122,0.07692307692307693,3.0
21.0,0.0806023509019013,33.17,74.6,0.9013452914798206,19,51,0.03787878787878788,0.08333333333333334,0.07954545454545454,0.12121212121212122,0.08712121212121213,0.07692307692307693,3.0
82.0,0.07513135799794161,35.17,75.73,0.9013452914798206,7,71,0.08333333333333334,0.07954545454545454,0.12121212121212122,0.08712121212121213,0.07954545454545454,0.07692307692307693,9.0
1.0,0.08834841016196306,34.35,75.58,0.9013452914798206,7,29,0.07954545454545454,0.12121212121212122,0.08712121212121213,0.07954545454545454,0.3106060606060606,0.08413461538461539,1.0
3.0,0.08818590542224149,33.62,75.5,0.9013452914798206,7,11,0.12121212121212122,0.08712121212121213,0.07954545454545454,0.3106060606060606,0.003787878787878788,0.08413461538461539,1.0
24.0,0.08607334380586101,33.4,75.5,0.9013452914798206,7,73,0.08712121212121213,0.07954545454545454,0.3106060606060606,0.003787878787878788,0.011363636363636364,0.08413461538461539,3.0
5.0,0.08943177509344023,32.77,75.52,0.9013452914798206,7,62,0.07954545454545454,0.3106060606060606,0.003787878787878788,0.011363636363636364,0.09090909090909091,0.08413461538461539,1.0
34.0,0.08656085802502574,32.8,76.09,0.9013452914798206,7,62,0.3106060606060606,0.003787878787878788,0.011363636363636364,0.09090909090909091,0.01893939393939394,0.08413461538461539,4.0
3.0,0.09176100969611614,32.17,75.9,0.9013452914798206,24,54,0.003787878787878788,0.011363636363636364,0.09090909090909091,0.01893939393939394,0.12878787878787878,0.08413461538461539,1.0
8.0,0.09138183197009914,32.34,76.07,0.9013452914798206,24,61,0.011363636363636364,0.09090909090909091,0.01893939393939394,0.12878787878787878,0.011363636363636364,0.08413461538461539,1.0
21.0,0.09040680353176968,32.1,75.65,0.9013452914798206,20,36,0.09090909090909091,0.01893939393939394,0.12878787878787878,0.011363636363636364,0.030303030303030304,0.08653846153846154,3.0
15.0,0.09219435566870701,31.75,75.27,0.9013452914798206,20,36,0.01893939393939394,0.12878787878787878,0.011363636363636364,0.030303030303030304,0.07954545454545454,0.08653846153846154,2.0
25.0,0.09192351443583771,31.62,75.07,0.9013452914798206,20,97,0.12878787878787878,0.011363636363636364,0.030303030303030304,0.07954545454545454,0.05681818181818182,0.08653846153846154,3.0
26.0,0.09316938410703646,32.14,75.23,0.9013452914798206,20,77,0.011363636363636364,0.030303030303030304,0.07954545454545454,0.05681818181818182,0.0946969696969697,0.08653846153846154,3.0
2.0,0.09717783435350198,31.54,75.04,0.9013452914798206,23,3,0.030303030303030304,0.07954545454545454,0.05681818181818182,0.0946969696969697,0.09848484848484848,0.08894230769230771,1.0
24.0,0.09490276799739993,31.4,75.6,0.9013452914798206,24,70,0.07954545454545454,0.05681818181818182,0.0946969696969697,0.09848484848484848,0.007575757575757576,0.08894230769230771,3.0
3.0,0.09847787227127458,30.86,74.87,0.9013452914798206,19,95,0.05681818181818182,0.0946969696969697,0.09848484848484848,0.007575757575757576,0.09090909090909091,0.08894230769230771,1.0
15.0,0.09734033909322355,30.57,74.5,0.9013452914798206,19,85,0.0946969696969697,0.09848484848484848,0.007575757575757576,0.09090909090909091,0.011363636363636364,0.08894230769230771,2.0
28.0,0.09674448838091111,31.09,74.32,0.9013452914798206,23,85,0.09848484848484848,0.007575757575757576,0.09090909090909091,0.011363636363636364,0.05681818181818182,0.08894230769230771,3.0
1.0,0.10118628459996751,30.54,74.2,0.9013452914798206,20,127,0.007575757575757576,0.09090909090909091,0.011363636363636364,0.05681818181818182,0.10606060606060606,0.09134615384615385,1.0
11.0,0.1001570879150642,30.74,74.1,0.9013452914798206,20,68,0.09090909090909091,0.011363636363636364,0.05681818181818182,0.10606060606060606,0.003787878787878788,0.09134615384615385,2.0
52.0,0.09631114240832024,31.12,74.32,0.9013452914798206,20,72,0.011363636363636364,0.05681818181818182,0.10606060606060606,0.003787878787878788,0.04166666666666667,0.09375,6.0
15.0,0.10313634147662641,30.84,74.36,0.9013452914798206,15,107,0.05681818181818182,0.10606060606060606,0.003787878787878788,0.04166666666666667,0.19696969696969696,0.09855769230769232,2.0
82.0,0.09669032013433726,31.72,76.25,0.9013452914798206,15,7,0.10606060606060606,0.003787878787878788,0.04166666666666667,0.19696969696969696,0.05681818181818182,0.09855769230769232,9.0
63.0,0.10319050972320026,32.25,76.48,0.9013452914798206,15,151,0.003787878787878788,0.04166666666666667,0.19696969696969696,0.05681818181818182,0.3106060606060606,0.10336538461538461,7.0
40.0,0.10909484859975083,32.38,77.28,0.9013452914798206,15,34,0.04166666666666667,0.19696969696969696,0.05681818181818182,0.3106060606060606,0.23863636363636365,0.10817307692307693,5.0
63.0,0.10876983912030767,32.88,77.42,0.9013452914798206,21,132,0.19696969696969696,0.05681818181818182,0.3106060606060606,0.23863636363636365,0.15151515151515152,0.10817307692307693,7.0
73.0,0.1110990737229836,33.53,78.3,0.9013452914798206,17,132,0.05681818181818182,0.3106060606060606,0.23863636363636365,0.15151515151515152,0.23863636363636365,0.11298076923076925,8.0
6.0,0.12231190076377228,33.09,78.32,0.9013452914798206,3,132,0.3106060606060606,0.23863636363636365,0.15151515151515152,0.23863636363636365,0.27651515151515155,0.11778846153846154,1.0
24.0,0.12068685336655653,32.95,78.45,0.9013452914798206,17,132,0.23863636363636365,0.15151515151515152,0.23863636363636365,0.27651515151515155,0.022727272727272728,0.11778846153846154,3.0
11.0,0.12339526569524945,33.12,78.4,0.9013452914798206,20,36,0.15151515151515152,0.23863636363636365,0.27651515151515155,0.022727272727272728,0.09090909090909091,0.11778846153846154,2.0
6.0,0.12453279887330047,32.7,78.47,0.9013452914798206,20,36,0.23863636363636365,0.27651515151515155,0.022727272727272728,0.09090909090909091,0.04166666666666667,0.12019230769230771,1.0
