Match Runs,Match SR,Total Runs,Total Balls,Ave,Career SR,HS,NO,0,50,100,Opposition,Ground,match_id,player_id,m1,m2,m3,m4,m5
11.0,137.50,4389.0,5364,39.28,82.02,137.0,13,6,27,9,South Africa,Hyderabad (Deccan),1127,35320,89.0,20.0,2.0,3.0,23.0
88.0,79.27,4400.0,5475,39.71,81.97,137.0,13,6,27,9,Australia,Bengaluru,1129,35320,20.0,2.0,3.0,23.0,11.0
64.0,68.81,4488.0,5568,39.92,81.75,137.0,13,6,28,9,South Africa,Jaipur,1130,35320,2.0,3.0,23.0,11.0,88.0
28.0,73.68,4552.0,5606,39.82,81.69,137.0,13,6,29,9,South Africa,Rajkot,1132,35320,3.0,23.0,11.0,88.0,64.0
62.0,101.63,4580.0,5667,40.01,81.91,137.0,13,6,29,9,Australia,Mohali,1137,35320,23.0,11.0,88.0,64.0,28.0
67.0,76.13,4642.0,5755,40.24,81.82,137.0,13,6,30,9,South Africa,Mumbai,1138,35320,11.0,88.0,64.0,28.0,62.0
114.0,90.47,4709.0,5881,40.87,82.00,137.0,13,6,31,9,South Africa,Mumbai,1151,35320,88.0,64.0,28.0,62.0,67.0
0.0,0.00,4823.0,5885,40.52,81.95,137.0,13,6,31,10,South Africa,Bloemfontein,1167,35320,64.0,28.0,62.0,67.0,114.0
6.0,75.00,4823.0,5893,40.24,81.94,137.0,13,7,31,10,Zimbabwe,Paarl,1169,35320,28.0,62.0,67.0,114.0,0.0
1.0,7.14,4829.0,5907,39.91,81.76,137.0,13,7,31,10,South Africa,Port Elizabeth,1172,35320,62.0,67.0,114.0,0.0,6.0
14.0,58.33,4830.0,5931,39.7,81.67,137.0,13,7,31,10,South Africa,East London,1173,35320,67.0,114.0,0.0,6.0,1.0
41.0,73.21,4844.0,5987,39.71,81.59,137.0,13,7,31,10,Zimbabwe,Centurion,1174,35320,114.0,0.0,6.0,1.0,14.0
104.0,107.21,4885.0,6084,40.23,82.00,137.0,13,7,31,10,Zimbabwe,Benoni,1175,35320,0.0,6.0,1.0,14.0,41.0
32.0,118.51,4989.0,6111,40.16,82.16,137.0,13,7,31,11,South Africa,Durban,1176,35320,6.0,1.0,14.0,41.0,104.0
45.0,136.36,5021.0,6144,40.2,82.45,137.0,13,7,31,11,South Africa,Durban,1177,35320,1.0,14.0,41.0,104.0,32.0
13.0,86.66,5066.0,6159,39.99,82.46,137.0,13,7,31,11,Zimbabwe,Bulawayo,1178,35320,14.0,41.0,104.0,32.0,45.0
44.0,102.32,5079.0,6202,40.02,82.60,137.0,13,7,31,11,West Indies,Port of Spain,1200,35320,41.0,104.0,32.0,45.0,13.0
65.0,92.85,5123.0,6272,40.53,82.71,137.0,13,7,31,11,West Indies,Port of Spain,1201,35320,104.0,32.0,45.0,13.0,44.0
