Match Runs,Total Runs,Ave,Career SR,HS,Opposition,Ground,m1,m2,m3,m4,m5,Records,class
88.0,2575.0,35.03,79.39,115.0,West Indies,Cuttack,115.0,34.0,62.0,66.0,54.0,260,5.0
105.0,2663.0,35.94,79.35,115.0,West Indies,Jaipur,34.0,62.0,66.0,54.0,88.0,270,6.0
13.0,2768.0,35.65,79.38,115.0,New Zealand,Napier,62.0,66.0,54.0,88.0,105.0,290,1.0
37.0,2781.0,35.67,79.29,115.0,South Africa,Hamilton,66.0,54.0,88.0,105.0,13.0,290,2.0
47.0,2818.0,35.81,79.71,115.0,Australia,Dunedin,54.0,88.0,105.0,13.0,37.0,290,3.0
48.0,2865.0,35.96,80.38,115.0,Bangladesh,Sharjah,88.0,105.0,13.0,37.0,47.0,290,3.0
4.0,2913.0,35.57,80.29,115.0,Pakistan,Sharjah,105.0,13.0,37.0,47.0,48.0,290,1.0
112.0,2917.0,36.93,80.98,115.0,Sri Lanka,Sharjah,13.0,37.0,47.0,48.0,4.0,290,6.0
41.0,3029.0,36.98,81.19,115.0,Sri Lanka,Sharjah,37.0,47.0,48.0,4.0,112.0,315,3.0
30.0,3070.0,36.9,81.55,115.0,New Zealand,Jamshedpur,47.0,48.0,4.0,112.0,41.0,315,2.0
39.0,3100.0,36.92,81.49,115.0,New Zealand,Amritsar,48.0,4.0,112.0,41.0,30.0,315,2.0
7.0,3139.0,36.58,81.43,115.0,New Zealand,Pune,4.0,112.0,41.0,30.0,39.0,315,1.0
65.0,3146.0,36.9,81.87,115.0,New Zealand,Nagpur,112.0,41.0,30.0,39.0,7.0,315,4.0
1.0,3211.0,36.5,81.81,115.0,New Zealand,Mumbai (BS),41.0,30.0,39.0,7.0,65.0,325,1.0
127.0,3212.0,37.94,82.16,127.0,Kenya,Cuttack,30.0,39.0,7.0,65.0,1.0,325,6.0
70.0,3339.0,38.3,82.04,127.0,West Indies,Gwalior,39.0,7.0,65.0,1.0,127.0,350,4.0
90.0,3409.0,38.87,82.54,127.0,Australia,Mumbai,7.0,65.0,1.0,127.0,70.0,360,5.0
137.0,3499.0,39.95,83.08,137.0,Sri Lanka,Delhi,65.0,1.0,127.0,70.0,90.0,370,6.0
3.0,3636.0,39.55,82.93,137.0,Zimbabwe,Kanpur,1.0,127.0,70.0,90.0,137.0,390,1.0
31.0,3639.0,39.46,82.52,137.0,Pakistan,Bengaluru,127.0,70.0,90.0,137.0,3.0,390,2.0
65.0,3670.0,39.73,82.35,137.0,Sri Lanka,Kolkata,70.0,90.0,137.0,3.0,31.0,390,4.0
28.0,3735.0,39.61,82.41,137.0,Sri Lanka,Singapore,90.0,137.0,3.0,31.0,65.0,400,2.0
100.0,3763.0,40.23,82.59,137.0,Pakistan,Singapore,137.0,3.0,31.0,65.0,28.0,400,6.0
1.0,3863.0,39.83,82.52,137.0,Pakistan,Sharjah,3.0,31.0,65.0,28.0,100.0,420,1.0
2.0,3864.0,39.44,82.3,137.0,South Africa,Sharjah,31.0,65.0,28.0,100.0,1.0,420,1.0
118.0,3866.0,40.24,82.36,137.0,Pakistan,Sharjah,65.0,28.0,100.0,1.0,2.0,420,6.0
17.0,3984.0,40.01,82.27,137.0,South Africa,Sharjah,28.0,100.0,1.0,2.0,118.0,440,1.0
57.0,4001.0,40.17,82.24,137.0,South Africa,Sharjah,100.0,1.0,2.0,118.0,17.0,440,3.0
30.0,4058.0,40.07,82.53,137.0,England,The Oval,1.0,2.0,118.0,17.0,57.0,450,2.0
6.0,4088.0,39.74,82.34,137.0,England,Leeds,2.0,118.0,17.0,57.0,30.0,450,1.0
1.0,4094.0,39.37,82.17,137.0,England,Manchester,118.0,17.0,57.0,30.0,6.0,450,1.0
110.0,4095.0,40.04,82.11,137.0,Sri Lanka,Colombo (RPS),17.0,57.0,30.0,6.0,1.0,450,6.0
40.0,4205.0,40.04,82.15,137.0,Zimbabwe,Colombo (SSC),57.0,30.0,6.0,1.0,110.0,470,3.0
7.0,4245.0,39.73,82.11,137.0,Australia,Colombo (SSC),30.0,6.0,1.0,110.0,40.0,470,1.0
89.0,4252.0,40.57,82.41,137.0,Pakistan,Toronto,6.0,1.0,110.0,40.0,7.0,470,5.0
20.0,4341.0,40.37,82.43,137.0,Pakistan,Toronto,1.0,110.0,40.0,7.0,89.0,485,2.0
2.0,4361.0,40.02,82.27,137.0,Pakistan,Toronto,110.0,40.0,7.0,89.0,20.0,485,1.0
3.0,4363.0,39.69,82.19,137.0,Pakistan,Toronto,40.0,7.0,89.0,20.0,2.0,485,1.0
23.0,4366.0,39.54,81.94,137.0,Pakistan,Toronto,7.0,89.0,20.0,2.0,3.0,485,2.0
11.0,4389.0,39.28,82.02,137.0,South Africa,Hyderabad (Deccan),89.0,20.0,2.0,3.0,23.0,485,1.0
88.0,4400.0,39.71,81.97,137.0,Australia,Bengaluru,20.0,2.0,3.0,23.0,11.0,485,5.0
64.0,4488.0,39.92,81.75,137.0,South Africa,Jaipur,2.0,3.0,23.0,11.0,88.0,495,4.0
28.0,4552.0,39.82,81.69,137.0,South Africa,Rajkot,3.0,23.0,11.0,88.0,64.0,505,2.0
62.0,4580.0,40.01,81.91,137.0,Australia,Mohali,23.0,11.0,88.0,64.0,28.0,505,4.0
67.0,4642.0,40.24,81.82,137.0,South Africa,Mumbai,11.0,88.0,64.0,28.0,62.0,515,4.0
114.0,4709.0,40.87,82.0,137.0,South Africa,Mumbai,88.0,64.0,28.0,62.0,67.0,525,6.0
0.0,4823.0,40.52,81.95,137.0,South Africa,Bloemfontein,64.0,28.0,62.0,67.0,114.0,545,1.0
6.0,4823.0,40.24,81.94,137.0,Zimbabwe,Paarl,28.0,62.0,67.0,114.0,0.0,540,1.0
1.0,4829.0,39.91,81.76,137.0,South Africa,Port Elizabeth,62.0,67.0,114.0,0.0,6.0,540,1.0
14.0,4830.0,39.7,81.67,137.0,South Africa,East London,67.0,114.0,0.0,6.0,1.0,540,1.0
41.0,4844.0,39.71,81.59,137.0,Zimbabwe,Centurion,114.0,0.0,6.0,1.0,14.0,540,3.0
104.0,4885.0,40.23,82.0,137.0,Zimbabwe,Benoni,0.0,6.0,1.0,14.0,41.0,540,6.0
32.0,4989.0,40.16,82.16,137.0,South Africa,Durban,6.0,1.0,14.0,41.0,104.0,560,2.0
45.0,5021.0,40.2,82.45,137.0,South Africa,Durban,1.0,14.0,41.0,104.0,32.0,560,3.0
13.0,5066.0,39.99,82.46,137.0,Zimbabwe,Bulawayo,14.0,41.0,104.0,32.0,45.0,560,1.0
44.0,5079.0,40.02,82.6,137.0,West Indies,Port of Spain,41.0,104.0,32.0,45.0,13.0,560,3.0
65.0,5123.0,40.53,82.71,137.0,West Indies,Port of Spain,104.0,32.0,45.0,13.0,44.0,560,4.0
9.0,5188.0,40.28,82.66,137.0,West Indies,Kingstown,32.0,45.0,13.0,44.0,65.0,575,1.0
1.0,5197.0,39.98,82.53,137.0,West Indies,Bridgetown,45.0,13.0,44.0,65.0,9.0,575,1.0
117.0,5198.0,40.57,82.59,137.0,New Zealand,Bengaluru,13.0,44.0,65.0,9.0,1.0,575,6.0
2.0,5315.0,40.28,82.57,137.0,Sri Lanka,Mumbai,44.0,65.0,9.0,1.0,117.0,595,1.0
